"","Gender","DriverAge","CarAge","Area","Leasing","Power","Fract","Contract","Exposure","Nbclaims"
"3790",2,18,4,2,1,3,3,2,3.06,0
"3791",1,34,9,2,2,1,3,2,4.2,0
"3792",1,27,10,3,2,2,2,2,3.8,0
"3793",1,50,5,2,2,3,2,2,3.37,0
"3794",2,37,4,1,2,2,3,2,3.84,0
"3795",2,72,5,3,1,3,1,2,3.59,0
"3796",2,21,8,1,2,2,3,1,1.86,0
"3797",1,35,9,4,2,2,2,3,2.12,0
"3798",2,42,6,3,1,3,3,2,3.68,0
"3799",2,42,3,1,2,2,1,3,4.84,0
"3800",1,45,9,1,1,3,3,1,3.66,0
"3801",2,40,6,2,1,2,3,2,4.55,0
"3802",1,49,5,1,1,1,3,2,6.02,0
"3803",2,20,1,2,2,1,2,2,1.73,0
"3804",1,52,3,1,2,2,3,2,3.44,0
"3805",1,31,4,3,2,1,3,2,1.05,0
"3806",1,44,4,2,2,1,3,3,5.1,1
"3807",1,35,1,2,1,1,3,2,3.04,0
"3808",1,51,6,4,2,2,1,3,2.57,0
"3809",1,25,4,2,1,2,3,1,2.12,0
"3810",1,27,2,4,2,4,3,1,1.7,0
"3811",2,22,8,4,1,4,3,1,3.01,0
"3812",1,31,4,2,2,2,3,2,2.95,1
"3813",1,42,0,1,2,2,2,1,4.02,0
"3814",1,69,8,3,2,2,3,3,1.97,1
"3815",2,59,7,4,1,1,2,3,4.45,0
"3816",1,67,4,2,2,3,2,1,3.28,0
"3817",1,59,9,4,2,2,2,2,5.12,0
"3818",2,43,0,2,2,4,3,1,2.19,0
"3819",1,70,2,3,2,2,3,3,5.07,1
"3820",1,51,8,4,2,3,3,2,3.43,0
"3821",1,43,2,2,2,3,3,2,2.46,0
"3822",1,27,8,2,2,2,2,3,2.74,0
"3823",2,23,11,1,2,1,1,2,2.73,0
"3824",1,34,1,3,2,3,3,1,2.48,0
"3825",1,50,5,1,1,2,2,1,3.84,0
"3826",2,57,5,1,2,3,1,1,2.61,0
"3827",2,34,6,1,2,3,2,2,3.03,0
"3828",2,26,2,3,2,1,2,2,4.53,0
"3829",1,35,4,1,2,2,3,2,3.28,0
"3830",2,30,1,1,2,1,1,1,1.42,0
"3831",2,43,7,3,1,1,3,1,2.75,1
"3832",1,50,5,2,2,1,2,2,1.74,0
"3833",2,48,6,3,2,3,2,3,2.11,0
"3834",1,37,2,3,2,2,3,2,4.77,0
"3835",2,18,6,2,2,2,3,1,2.94,0
"3836",1,35,9,3,2,3,3,3,2.08,0
"3837",1,76,1,3,2,2,3,1,2.43,0
"3838",2,28,0,1,2,3,1,2,3.07,0
"3839",2,38,2,2,1,3,3,1,0.49,0
"3840",1,52,5,2,2,1,3,3,2.71,0
"3841",2,39,2,1,1,4,3,2,3.83,0
"3842",2,18,6,1,1,2,3,1,3.69,0
"3843",1,60,4,4,2,3,3,1,4.73,0
"3844",1,37,6,3,2,2,3,1,2.23,0
"3845",1,61,0,2,2,2,3,2,1.09,0
"3846",2,41,7,1,1,4,3,2,1.63,0
"3847",2,34,7,1,1,4,3,2,0.08,0
"3848",2,18,0,3,2,3,3,2,5.23,0
"3849",2,25,3,3,2,2,1,1,2.55,0
"3850",2,64,6,2,2,1,1,2,3.65,0
"3851",1,23,2,3,1,3,3,3,3.7,0
"3852",2,43,10,3,2,3,2,2,2.83,0
"3853",2,41,3,1,1,1,3,2,1.46,0
"3854",1,54,7,1,2,3,2,2,5.08,0
"3855",1,53,6,3,2,1,3,2,2.9,0
"3856",2,31,8,4,2,3,2,1,3.83,0
"3857",2,31,5,1,2,1,2,2,1.73,0
"3858",1,66,5,2,1,2,2,1,0.74,0
"3859",1,28,4,3,2,2,3,2,2.08,0
"3860",1,38,4,2,2,2,3,1,1.47,0
"3861",2,45,2,1,2,1,2,2,5.89,1
"3862",1,54,5,2,1,2,1,2,4.39,0
"3863",2,78,8,1,1,3,3,2,4.65,0
"3864",2,57,5,1,2,1,3,2,1.91,0
"3865",1,37,3,4,1,3,1,3,3.58,0
"3866",1,34,3,1,2,1,3,3,3.76,0
"3867",1,25,4,2,1,4,1,3,2.97,0
"3868",1,18,6,1,2,1,3,2,2.09,0
"3869",1,68,4,3,2,2,3,3,0.89,0
"3870",1,22,7,3,2,3,3,3,3.3,1
"3871",1,52,1,2,2,3,3,2,3.32,0
"3872",2,34,2,3,2,1,2,1,4.1,0
"3873",2,54,4,1,1,2,3,1,2.49,0
"3874",1,18,7,1,2,3,2,2,2.84,0
"3875",1,50,5,3,2,2,3,2,4.87,0
"3876",1,18,6,3,2,1,1,2,1.91,0
"3877",2,50,5,1,2,3,3,2,3.67,0
"3878",2,61,4,1,2,3,3,1,0.08,0
"3879",2,40,5,3,1,2,3,1,3.31,0
"3880",1,41,5,4,1,2,3,2,1.8,0
"3881",1,24,10,4,2,3,3,3,4.77,0
"3882",2,35,3,2,1,4,1,2,2,0
"3883",1,30,5,2,2,2,2,2,5.01,0
"3884",1,39,10,3,2,3,3,1,0.19,0
"3885",2,39,4,2,2,3,3,1,2.98,0
"3886",1,39,4,2,2,2,3,3,2.81,0
"3887",1,76,8,1,2,1,2,3,3.18,0
"3888",2,36,7,2,1,2,3,2,4.14,0
"3889",2,33,1,1,2,1,3,2,0.89,0
"3890",1,41,5,1,2,2,3,2,2.88,0
"3891",1,51,3,4,1,2,1,1,2.1,0
"3892",2,20,5,2,2,3,3,3,2.98,0
"3893",1,57,4,3,2,2,1,1,5.15,0
"3894",2,54,6,4,2,3,3,2,3.14,0
"3895",2,54,8,2,1,3,3,2,2.04,0
"3896",2,49,6,4,1,3,2,2,2.04,0
"3897",1,60,1,2,1,2,3,2,3.07,0
"3898",2,40,9,2,2,1,3,2,2.64,0
"3899",2,45,0,2,2,2,3,2,3.86,0
"3900",2,48,6,3,1,3,3,2,1.55,0
"3901",1,31,9,4,1,4,3,1,4.48,0
"3902",1,60,5,1,1,2,1,1,0.9,0
"3903",1,30,7,2,1,3,3,3,2.66,0
"3904",2,48,4,4,2,1,2,2,3.89,0
"3905",1,22,7,4,2,3,3,1,1.84,0
"3906",1,34,2,1,2,3,3,2,4,0
"3907",1,51,8,3,2,1,1,3,4.36,0
"3908",1,45,8,1,1,3,1,3,2.61,0
"3909",1,53,6,3,2,3,3,3,2.87,0
"3910",1,35,2,2,2,3,3,1,2.4,1
"3911",2,60,4,3,2,3,1,3,4.56,0
"3912",1,29,9,2,2,3,1,2,1.4,0
"3913",2,82,8,2,2,1,3,2,2.7,0
"3914",1,51,5,1,2,3,3,2,0.27,0
"3915",2,32,2,4,1,4,2,2,2.24,0
"3916",1,51,7,1,2,1,2,2,4.76,0
"3917",2,82,4,4,2,3,3,2,2.44,0
"3918",1,31,6,2,2,2,1,1,0.51,0
"3919",1,32,7,1,2,2,2,2,2.66,0
"3920",1,67,13,3,2,2,3,2,4.83,0
"3921",1,74,4,4,2,3,3,2,5.1,0
"3922",2,53,9,3,2,2,2,1,3.6,0
"3923",2,23,0,1,2,2,3,2,4.64,0
"3924",1,43,5,1,1,1,2,1,0.68,0
"3925",1,52,7,4,2,2,2,2,1.3,0
"3926",2,30,8,1,2,1,3,1,0.44,0
"3927",1,49,8,2,2,3,3,3,3.5,0
"3928",1,22,6,4,2,2,3,2,1.16,0
"3929",2,30,1,4,1,2,1,2,2.42,0
"3930",1,43,6,1,2,2,2,2,3.64,0
"3931",1,72,5,1,1,3,2,2,4.38,0
"3932",1,49,2,2,1,1,2,3,5.32,0
"3933",1,32,8,2,2,3,3,2,1.7,1
"3934",1,48,1,3,2,3,3,2,0.08,0
"3935",2,44,6,2,2,2,1,2,1.54,0
"3936",1,41,1,2,2,3,3,3,5.53,0
"3937",1,41,6,1,2,3,3,2,3.58,0
"3938",1,49,7,2,2,1,1,2,5.46,0
"3939",1,66,11,2,2,3,2,2,2.43,0
"3940",1,46,1,2,1,1,3,1,4.13,0
"3941",2,56,6,3,2,3,2,3,0.08,0
"3942",2,26,8,2,2,2,3,2,1.81,0
"3943",1,51,5,4,1,2,3,2,2.64,0
"3944",2,45,5,3,2,2,1,2,1.3,0
"3945",1,53,3,3,1,1,2,2,4.33,0
"3946",1,51,7,3,2,2,3,1,1.83,0
"3947",1,50,7,2,2,1,2,3,1.46,0
"3948",1,66,5,1,2,2,3,2,3.18,0
"3949",1,47,4,2,2,1,3,2,1.35,0
"3950",1,54,1,1,2,4,2,3,1.12,0
"3951",2,50,10,4,2,3,3,1,3.08,0
"3952",2,57,1,2,2,3,3,1,3.04,0
"3953",2,23,2,3,2,3,3,2,2.19,0
"3954",1,49,5,2,2,2,3,2,3.57,0
"3955",2,22,7,2,2,1,3,3,4.12,0
"3956",1,42,6,4,1,2,2,1,1.56,0
"3957",2,42,4,3,2,2,3,3,1.87,0
"3958",2,38,4,1,1,2,3,2,3.93,0
"3959",1,18,2,2,2,3,2,2,2.99,0
"3960",2,53,3,4,2,1,2,1,2.16,0
"3961",1,48,7,2,1,1,3,2,3.61,0
"3962",1,38,4,4,2,2,3,1,0.87,0
"3963",1,56,8,1,2,3,2,3,3.89,0
"3964",1,64,1,2,2,2,3,2,2.26,0
"3965",1,37,3,2,2,3,1,3,3.55,0
"3966",2,23,4,4,1,3,2,2,3.44,0
"3967",2,19,7,2,1,3,3,1,5.1,0
"3968",2,41,5,2,1,2,3,2,6.07,0
"3969",1,33,3,2,2,2,1,2,4.46,0
"3970",1,58,5,4,1,3,2,2,2.83,0
"3971",1,38,6,1,2,3,3,1,5.05,0
"3972",1,30,5,2,2,2,3,2,3.32,0
"3973",2,18,3,1,1,1,3,2,4.72,0
"3974",2,73,6,2,1,3,3,2,3.47,0
"3975",1,63,7,2,1,2,3,3,3.26,0
"3976",1,59,6,2,2,2,3,1,2.02,0
"3977",2,54,8,1,2,3,3,2,0.08,0
"3978",1,48,5,3,1,1,3,1,4.63,0
"3979",1,38,4,1,1,2,3,2,4.03,0
"3980",1,36,4,2,2,4,2,2,3.63,0
"3981",2,69,2,4,2,2,3,2,3.03,0
"3982",2,72,0,2,1,2,1,2,6.46,0
"3983",2,36,8,1,1,1,1,2,0.42,0
"3984",2,37,6,2,2,3,3,2,0.08,0
"3985",1,50,8,1,2,2,3,2,0.87,0
"3986",1,74,6,3,1,2,3,2,3.83,0
"3987",1,51,5,3,2,3,3,2,5.61,0
"3988",1,21,0,3,2,2,2,2,2.28,0
"3989",1,49,6,2,2,2,2,2,4.55,0
"3990",1,47,6,3,2,4,3,1,2.15,0
"3991",2,71,10,2,2,2,3,3,4.51,0
"3992",2,74,5,4,1,2,3,2,0.65,0
"3993",2,49,6,2,2,3,3,2,4.01,0
"3994",2,28,8,4,1,2,2,2,6.19,0
"3995",1,18,3,3,2,3,3,2,2.61,0
"3996",1,42,3,3,1,3,3,3,2.46,0
"3997",2,55,9,1,1,1,3,2,3.07,0
"3998",1,59,5,1,2,2,3,2,3.08,0
"3999",2,32,0,3,1,3,3,1,3.04,0
"4000",2,42,3,2,2,2,3,2,4.95,0
"4001",1,33,5,2,2,3,1,2,1.19,0
"4002",2,42,3,4,2,2,2,2,5.14,1
"4003",1,62,10,2,2,2,3,1,1.59,0
"4004",1,40,5,2,2,2,2,2,2.99,0
"4005",1,53,6,4,1,2,2,2,2.9,0
"4006",2,44,5,1,1,2,2,1,2.42,0
"4007",1,18,8,1,1,1,2,1,4.11,0
"4008",2,21,6,3,2,1,2,2,4.96,0
"4009",2,41,5,2,1,2,3,1,2.53,0
"4010",1,46,2,4,2,2,2,3,2.56,1
"4011",1,56,1,4,2,3,3,3,1.44,0
"4012",1,46,6,3,2,2,2,1,3.73,0
"4013",1,41,8,2,2,2,2,3,4.93,0
"4014",2,54,7,2,2,2,3,2,2.4,0
"4015",1,41,3,2,2,2,3,2,4.5,0
"4016",2,67,10,2,2,4,3,2,5.8,0
"4017",1,48,6,3,2,1,1,1,3.82,0
"4018",1,41,4,2,2,1,3,3,0.08,0
"4019",1,50,4,1,1,3,2,3,1.97,0
"4020",1,31,5,1,2,3,3,1,5.13,0
"4021",2,51,3,2,2,2,1,2,5.47,0
"4022",2,44,6,3,2,3,2,2,1.44,0
"4023",2,45,10,1,1,2,3,2,5.56,0
"4024",2,50,8,3,1,1,3,2,3.56,0
"4025",1,18,6,4,2,2,1,2,2.04,2
"4026",2,65,8,2,2,4,3,1,1.2,0
"4027",1,47,4,1,2,2,3,2,2.23,0
"4028",2,26,6,4,1,2,3,1,5.04,0
"4029",2,37,2,1,2,4,3,1,3.65,0
"4030",2,60,7,1,1,4,1,2,1.91,0
"4031",2,53,6,4,1,2,2,1,1.91,0
"4032",1,49,9,2,2,2,2,3,2.42,0
"4033",1,18,5,1,2,3,3,3,0.96,0
"4034",2,60,5,1,2,3,2,2,2.49,0
"4035",2,58,5,4,2,2,1,2,2.12,0
"4036",1,67,9,1,1,4,3,1,3.72,1
"4037",1,18,10,3,2,3,2,2,2.81,0
"4038",1,18,5,4,2,3,2,1,2.36,0
"4039",1,26,2,2,1,2,3,3,5.04,0
"4040",2,70,5,1,1,1,3,1,2.76,0
"4041",1,30,7,2,2,3,3,2,3.1,0
"4042",1,18,4,2,1,3,3,1,6.89,2
"4043",1,35,8,1,1,2,3,2,3.12,0
"4044",2,41,4,1,2,1,3,1,2.13,0
"4045",1,18,2,1,2,2,2,2,2.68,0
"4046",2,64,6,3,2,3,1,2,3.07,0
"4047",2,44,6,4,2,3,2,2,4.85,0
"4048",1,33,8,3,1,2,2,1,2.67,0
"4049",2,31,4,1,2,1,3,2,2.32,1
"4050",1,58,1,2,2,2,3,3,3.69,0
"4051",1,50,4,1,2,3,1,2,6.56,0
"4052",1,54,9,2,1,2,2,2,4.19,0
"4053",1,35,7,2,2,2,3,2,3.25,0
"4054",2,38,10,2,2,1,3,2,2.8,0
"4055",1,47,5,4,2,3,3,3,2.97,0
"4056",1,42,7,3,2,2,3,2,4.42,0
"4057",1,61,5,2,2,3,3,1,2.77,0
"4058",2,39,6,2,2,3,3,3,5.83,0
"4059",2,57,2,3,1,3,2,1,5.73,0
"4060",1,45,3,4,2,3,3,2,3.13,0
"4061",1,41,0,2,2,2,3,3,1.43,0
"4062",2,54,5,1,1,2,3,3,4.59,0
"4063",2,30,10,1,1,1,3,1,4.74,0
"4064",2,29,4,3,2,2,2,3,3.75,0
"4065",1,31,2,2,2,4,2,3,2.11,0
"4066",2,60,7,3,2,2,3,2,3.32,0
"4067",2,27,7,2,2,3,3,2,4.35,0
"4068",2,34,7,3,2,3,2,3,3.69,0
"4069",2,50,6,3,2,2,2,2,1.76,0
"4070",1,48,6,1,1,3,2,2,1.15,0
"4071",1,50,3,3,2,3,3,2,3.19,0
"4072",1,44,2,2,2,2,3,2,3.81,0
"4073",1,50,7,2,1,2,3,1,1.12,1
"4074",1,18,5,3,2,2,3,3,3.72,0
"4075",1,52,8,2,2,2,3,2,5.07,0
"4076",1,36,7,1,2,3,3,3,3.22,0
"4077",2,27,7,1,2,1,3,2,1.63,0
"4078",2,55,7,2,2,4,3,1,3.65,0
"4079",1,42,7,3,1,2,3,2,2.59,0
"4080",1,24,7,1,2,3,3,1,1.71,0
"4081",1,31,2,2,2,2,3,2,5.69,0
"4082",2,56,5,2,1,3,2,2,0.16,0
"4083",1,54,1,1,2,3,2,3,4.41,0
"4084",2,31,7,2,1,3,3,1,0.08,0
"4085",2,58,6,1,2,3,3,2,1.63,0
"4086",1,33,7,3,1,2,3,3,2.03,0
"4087",1,39,0,1,2,3,3,3,3.4,0
"4088",1,68,1,1,2,1,2,2,4.61,0
"4089",2,43,8,4,2,2,2,2,2.82,0
"4090",1,59,4,1,1,1,3,1,0.08,0
"4091",1,59,0,3,2,4,1,3,3.43,0
"4092",2,34,0,3,2,3,3,2,0.69,0
"4093",1,18,6,1,1,3,3,3,3.54,0
"4094",1,49,3,1,1,4,2,1,2.95,0
"4095",1,43,5,2,2,1,3,2,2.28,0
"4096",2,53,5,4,2,1,2,2,3.93,1
"4097",2,39,6,1,2,1,3,2,5.76,0
"4098",1,63,5,3,2,3,3,1,4.34,0
"4099",1,53,4,2,1,1,3,2,3.63,0
"4100",2,43,6,1,2,2,1,1,2.01,0
"4101",2,48,12,3,1,2,3,2,1.15,0
"4102",2,36,2,2,2,2,2,1,3.13,0
"4103",1,76,5,1,2,1,3,2,2.75,0
"4104",1,29,7,4,2,3,3,3,3.76,0
"4105",1,34,5,1,2,2,2,2,2.16,0
"4106",1,56,3,1,2,1,2,2,2.16,0
"4107",2,31,5,1,2,1,1,2,3.8,0
"4108",2,29,2,3,1,3,2,2,2.16,0
"4109",1,32,4,3,2,1,3,2,2.89,0
"4110",1,51,4,1,1,2,3,2,4.65,0
"4111",1,45,5,4,2,4,3,3,0.08,0
"4112",2,42,5,1,1,3,3,1,2.25,0
"4113",1,31,3,3,2,3,3,1,4.05,0
"4114",1,52,7,3,1,2,1,1,0.57,0
"4115",1,39,5,2,2,2,3,1,3.27,0
"4116",2,53,3,4,1,3,3,1,2.68,0
"4117",2,48,2,2,1,2,1,2,3.93,0
"4118",1,27,4,4,1,3,3,2,3.87,0
"4119",1,58,4,2,1,2,2,2,2.57,0
"4120",1,46,5,3,2,3,3,2,3.08,0
"4121",1,38,4,3,1,2,3,2,4.42,0
"4122",1,23,5,2,2,2,3,1,0.08,0
"4123",1,34,2,2,2,2,2,3,6.45,0
"4124",1,41,5,1,2,2,3,2,4.06,0
"4125",2,40,2,2,2,3,1,1,4.36,0
"4126",1,46,7,3,2,2,3,2,4.52,0
"4127",2,47,11,1,2,3,3,2,1.67,0
"4128",2,61,9,3,2,1,1,1,2.32,0
"4129",1,63,0,4,2,4,3,1,3.63,0
"4130",1,19,3,4,2,2,3,1,1.42,0
"4131",1,34,6,2,1,3,2,2,3.74,0
"4132",1,20,8,3,2,1,3,1,3.69,0
"4133",2,32,5,1,2,3,3,1,1.79,0
"4134",2,65,5,2,2,2,2,3,3.66,0
"4135",2,52,5,3,2,1,1,2,1.89,0
"4136",1,27,5,1,1,3,3,1,1.63,0
"4137",2,23,4,2,1,2,3,2,3.61,0
"4138",1,50,2,2,2,3,1,2,2.69,1
"4139",2,49,5,1,2,3,3,1,1.03,0
"4140",2,57,6,2,1,4,2,2,6.35,0
"4141",1,47,4,4,2,1,3,2,6.45,0
"4142",2,69,7,4,1,2,3,3,0.11,0
"4143",1,18,9,2,2,2,1,2,0.28,0
"4144",2,44,2,2,2,2,3,1,3.95,0
"4145",2,28,3,1,2,2,3,1,1.6,0
"4146",1,27,5,3,1,1,3,1,3.94,0
"4147",1,18,8,1,2,3,2,2,3.51,0
"4148",2,48,2,1,1,2,3,3,2.93,0
"4149",1,32,8,1,1,3,1,2,2.59,0
"4150",1,48,2,4,2,2,3,2,3.18,0
"4151",2,46,8,2,2,2,3,2,1.52,0
"4152",2,50,5,2,2,2,1,1,1.5,0
"4153",1,62,4,3,2,2,2,2,4.37,0
"4154",1,34,5,1,2,1,1,2,4.46,0
"4155",2,53,8,3,2,2,3,3,4.96,0
"4156",1,55,4,2,1,2,3,1,2.81,0
"4157",2,64,1,1,2,3,2,3,1.29,0
"4158",2,35,2,3,1,1,3,2,2.16,0
"4159",2,26,5,1,2,1,1,1,0.48,0
"4160",2,27,9,1,2,1,1,2,3.8,0
"4161",1,58,6,4,2,2,2,2,3.57,0
"4162",2,54,7,1,1,3,3,1,3.54,0
"4163",2,64,3,3,2,1,1,2,2.76,0
"4164",1,32,7,1,1,1,1,3,6.37,1
"4165",1,42,6,1,2,4,3,1,1.15,0
"4166",2,24,1,3,1,3,3,2,4.41,0
"4167",2,24,5,2,2,3,3,2,1.68,0
"4168",1,18,2,3,2,2,2,3,1.01,0
"4169",1,71,3,1,2,2,2,3,2.41,0
"4170",2,58,5,3,2,2,3,1,1.41,0
"4171",2,45,7,4,2,1,1,1,5.6,0
"4172",2,72,2,2,1,1,3,1,4.81,0
"4173",2,60,8,3,2,2,3,2,0.88,0
"4174",2,58,6,4,1,2,1,2,0.08,0
"4175",1,26,8,3,1,2,3,1,5.05,0
"4176",2,44,9,3,2,3,2,3,3.55,0
"4177",2,18,4,1,2,2,1,3,8.09,0
"4178",1,23,2,4,2,2,3,3,2.8,0
"4179",2,54,9,1,2,4,3,1,5.78,0
"4180",2,42,8,1,2,2,1,1,1.79,0
"4181",2,48,4,4,2,1,3,1,3.78,0
"4182",2,27,5,1,2,2,1,2,2.39,1
"4183",2,43,3,2,2,2,2,2,2.17,0
"4184",1,56,6,2,1,2,3,2,2.27,0
"4185",1,41,2,2,2,1,3,1,2.67,0
"4186",2,30,5,3,2,3,1,2,4.93,0
"4187",1,33,2,2,2,1,3,3,2.62,0
"4188",1,50,4,1,2,2,3,2,4.92,0
"4189",1,35,5,2,2,3,3,2,0.44,0
"4190",2,37,5,1,2,3,3,3,1.35,0
"4191",2,58,1,3,2,2,3,1,0.08,0
"4192",1,57,6,2,2,2,2,1,2.33,0
"4193",1,48,0,1,2,2,3,1,2.64,0
"4194",2,42,9,2,2,1,3,2,3.51,0
"4195",2,45,5,3,2,3,3,1,2.67,0
"4196",2,24,3,3,1,1,3,2,2.13,0
"4197",1,25,4,1,2,3,2,2,1.57,0
"4198",1,20,3,2,1,2,1,2,4.1,0
"4199",1,70,4,2,1,1,3,2,2.55,0
"4200",1,40,8,1,1,2,1,1,1.76,0
"4201",1,34,2,2,2,1,3,2,4.03,0
"4202",1,51,5,4,2,1,2,1,1.56,0
"4203",2,36,8,1,2,3,3,3,4.87,0
"4204",1,20,3,3,1,1,1,2,4.72,0
"4205",1,37,8,1,2,2,3,2,1.76,0
"4206",1,58,8,1,1,2,3,2,2.14,0
"4207",1,41,8,4,2,2,2,2,3.18,0
"4208",1,74,12,1,2,1,2,2,4,0
"4209",2,35,4,1,2,2,2,2,1.57,0
"4210",1,46,6,3,2,1,1,2,0.63,0
"4211",1,55,8,1,2,2,2,2,4.83,0
"4212",2,18,6,3,2,4,3,1,1.61,0
"4213",1,37,8,3,1,2,3,3,1.75,0
"4214",1,23,5,3,2,2,3,3,5.49,0
"4215",2,65,4,2,2,2,3,2,5.98,0
"4216",1,30,8,4,2,3,3,2,4.45,0
"4217",2,54,0,4,1,2,3,2,0.18,0
"4218",1,18,4,2,2,1,3,2,3.42,0
"4219",1,39,4,4,2,2,3,2,1.47,0
"4220",1,50,6,2,1,2,2,2,5.14,0
"4221",1,18,7,1,2,3,2,2,2.62,0
"4222",1,19,3,4,2,4,1,2,4.62,1
"4223",1,18,7,2,2,1,3,1,3.1,0
"4224",1,75,2,2,1,2,3,2,4.62,0
"4225",2,37,2,1,2,2,3,1,1.22,0
"4226",1,22,5,1,1,1,1,3,2.9,0
"4227",2,45,1,2,1,3,3,1,3.06,0
"4228",1,34,7,4,2,1,2,1,3.62,1
"4229",2,36,9,3,2,1,3,2,4.71,0
"4230",1,51,7,3,1,3,1,1,3.67,0
"4231",1,45,6,1,1,3,3,2,2.62,0
"4232",1,32,0,3,2,2,3,2,3.83,0
"4233",1,40,7,1,1,1,3,2,1.78,0
"4234",2,48,9,2,2,3,3,1,1.64,0
"4235",2,38,6,3,1,3,3,2,1.4,0
"4236",1,22,6,4,1,2,3,2,3.84,0
"4237",1,53,7,1,2,3,1,2,2.7,0
"4238",2,48,1,3,2,1,3,3,2.86,0
"4239",2,33,9,2,1,2,2,1,2.55,0
"4240",2,29,4,2,2,2,1,2,2.43,0
"4241",1,42,3,1,2,4,3,2,1.68,0
"4242",1,52,1,1,2,1,3,2,2.66,0
"4243",1,41,3,1,1,3,2,1,3.68,0
"4244",1,45,5,1,2,2,3,2,5.81,0
"4245",1,43,9,4,2,3,1,2,1.78,1
"4246",2,25,7,2,2,3,3,2,3.41,0
"4247",2,34,4,2,1,2,1,1,3.75,0
"4248",1,46,5,1,2,1,1,1,2.14,0
"4249",1,63,8,3,1,3,3,1,5.26,0
"4250",2,64,5,2,2,2,3,2,4.82,0
"4251",2,55,4,3,2,3,3,2,0.17,0
"4252",1,56,3,1,2,2,3,3,5.05,0
"4253",2,49,5,3,2,3,1,2,0.08,0
"4254",1,54,9,1,2,3,3,2,3.18,0
"4255",1,53,8,2,2,3,3,1,2.29,0
"4256",1,26,4,1,2,4,1,2,2.85,0
"4257",2,46,7,1,2,2,2,3,1.74,0
"4258",1,39,4,2,1,1,3,3,3.91,0
"4259",2,49,1,1,2,2,3,2,4.23,0
"4260",1,51,6,1,2,1,1,2,2.51,0
"4261",1,22,6,1,1,1,3,3,3.91,0
"4262",2,42,1,2,2,3,3,2,2.83,0
"4263",1,61,0,1,2,2,1,1,0.81,0
"4264",2,34,8,1,1,3,3,2,1.64,0
"4265",2,18,4,3,1,2,3,3,2.15,0
"4266",1,18,3,2,2,2,3,2,1.16,0
"4267",1,66,7,2,1,2,1,2,4.69,0
"4268",1,19,2,3,2,3,3,2,1.52,0
"4269",2,56,6,3,2,3,3,2,3.21,0
"4270",2,46,2,4,1,3,2,1,2.04,0
"4271",1,37,6,3,2,3,3,2,3.13,1
"4272",2,30,7,4,1,3,2,2,5.09,0
"4273",1,28,6,3,1,2,3,2,2.96,0
"4274",2,41,6,2,2,4,3,2,7.18,0
"4275",1,37,7,1,2,1,3,2,4.02,0
"4276",1,33,4,4,2,1,3,2,3.08,0
"4277",1,36,0,1,2,2,3,1,3.67,0
"4278",1,62,5,4,1,1,2,2,6.45,0
"4279",1,48,4,3,2,1,2,2,0.42,0
"4280",1,33,8,4,2,1,3,2,2.66,0
"4281",1,42,2,1,1,2,3,2,1.72,0
"4282",2,49,0,1,1,1,3,2,2.73,0
"4283",1,59,5,3,2,1,3,2,3.53,0
"4284",1,49,2,1,2,1,3,2,3.36,0
"4285",1,34,6,2,2,2,1,2,2.83,0
"4286",1,43,9,1,2,2,2,1,2.52,0
"4287",2,72,5,2,2,2,3,2,6.05,0
"4288",1,69,4,2,2,1,3,3,1.03,0
"4289",2,46,6,4,2,2,1,2,3.71,0
"4290",2,47,9,1,2,2,3,2,2.83,0
"4291",2,51,4,1,2,3,1,3,2.79,0
"4292",1,47,4,3,2,3,3,2,4.41,0
"4293",2,54,6,2,1,1,2,2,5.82,0
"4294",1,55,6,2,2,1,2,2,2.31,0
"4295",1,22,6,2,1,1,2,3,4.89,1
"4296",1,39,10,4,2,1,3,2,2.47,0
"4297",1,45,5,1,2,4,3,2,5.63,0
"4298",2,44,2,1,1,4,1,1,3.14,0
"4299",1,43,3,1,2,2,2,2,1.5,0
"4300",1,36,11,1,1,2,3,2,2.62,0
"4301",1,52,6,1,1,1,3,1,2.5,0
"4302",1,32,4,4,2,4,3,1,3.7,0
"4303",1,55,5,4,1,1,2,2,2.65,0
"4304",1,19,2,1,2,2,3,2,2.5,0
"4305",1,29,1,2,1,2,3,1,3.96,0
"4306",1,65,6,3,2,3,3,3,3.51,0
"4307",1,32,3,2,2,2,3,3,1.99,0
"4308",2,58,9,1,1,1,2,3,4.59,0
"4309",1,41,6,3,2,3,2,2,2.56,0
"4310",1,37,5,4,2,4,2,1,2.23,0
"4311",1,54,7,2,1,1,3,1,0.08,0
"4312",1,36,4,2,2,2,3,2,3,0
"4313",1,33,6,4,2,3,2,1,3.2,0
"4314",2,40,3,2,2,2,3,1,0.12,0
"4315",2,44,4,2,2,1,2,2,1.32,0
"4316",2,25,7,1,2,2,3,2,2.29,1
"4317",2,47,7,1,2,2,3,2,2.99,0
"4318",2,42,1,3,1,2,3,2,3.88,1
"4319",1,42,5,3,2,4,3,2,5.84,0
"4320",1,32,2,1,2,1,1,1,1.65,0
"4321",2,51,5,2,2,1,3,2,1.28,0
"4322",2,33,3,4,2,4,2,1,5.11,0
"4323",2,21,9,1,2,3,3,2,2.11,0
"4324",1,43,6,2,1,2,1,2,2.25,0
"4325",1,40,1,2,2,2,3,2,2.93,0
