"","Gender","DriverAge","CarAge","Area","Leasing","Power","Fract","Contract","Exposure","Predicted"
"8633","F",42,8,"Urban","Yes","Normal","Quarterly","Intermediate",3,0.0253727210611796
"8634","F",40,2,"Urban","Yes","Normal","Yearly","Basic",3.73,0.0240664955688565
"8635","M",52,4,"Countryside low","Yes","Normal","Yearly","Intermediate",5.26,0.0180404635220315
"8636","F",60,5,"Urban","No","Normal","Quarterly","Intermediate",1.6,0.0226036530237154
"8637","F",51,9,"Coutryside high","No","Intermediate","Monthly","Full",0.78,0.0207947623590704
"8638","F",52,5,"Countryside low","No","Normal","Quarterly","Basic",2.05,0.0129262313994376
"8639","F",41,6,"Countryside low","Yes","Intermediate","Monthly","Basic",8.66,0.0148072734119138
"8640","M",35,3,"Countryside low","Yes","Intermediate","Yearly","Basic",2.19,0.0218252217618569
"8641","M",31,5,"Urban","No","Low","Yearly","Intermediate",6.11,0.0231984798366196
"8642","M",32,6,"Urban","No","High","Monthly","Basic",4.85,0.0370670747477795
"8643","M",61,7,"Suburban","No","Intermediate","Yearly","Intermediate",2.66,0.016938911031027
"8644","M",50,9,"Urban","Yes","Normal","Yearly","Basic",2.86,0.0250035963397605
"8645","M",56,6,"Suburban","No","Normal","Yearly","Basic",0.64,0.0161767494645214
"8646","M",44,6,"Suburban","No","Low","Quarterly","Basic",4.6,0.0158583469366391
"8647","M",59,2,"Countryside low","No","Low","Yearly","Intermediate",3.59,0.0128910995142437
"8648","M",18,5,"Urban","No","Intermediate","Yearly","Intermediate",1.69,0.0324553059285726
"8649","F",39,6,"Suburban","Yes","Normal","Monthly","Intermediate",2.23,0.0265748081193925
"8650","M",30,3,"Coutryside high","No","Intermediate","Yearly","Intermediate",4.38,0.0263165762103595
"8651","M",45,9,"Suburban","Yes","Normal","Yearly","Intermediate",2.24,0.0229202169150945
"8652","M",23,7,"Suburban","No","Normal","Monthly","Intermediate",1.66,0.0355009243084138
"8653","M",22,8,"Urban","No","Low","Yearly","Basic",4.27,0.0223227981529922
"8654","M",64,1,"Countryside low","No","Low","Yearly","Intermediate",1.51,0.0126864744703749
"8655","M",43,2,"Coutryside high","No","Low","Yearly","Basic",2.44,0.018119520649112
"8656","M",21,1,"Coutryside high","No","Normal","Yearly","Intermediate",5.62,0.0281879430863126
"8657","F",40,0,"Urban","Yes","High","Yearly","Intermediate",2.38,0.0325932880321817
"8658","M",39,7,"Coutryside high","No","Normal","Monthly","Intermediate",1.79,0.0302432920913421
"8659","M",55,8,"Urban","No","Low","Yearly","Intermediate",2.86,0.017267307034407
"8660","M",56,5,"Urban","No","Intermediate","Yearly","Intermediate",5.57,0.0223437770536074
"8661","M",28,3,"Urban","Yes","High","Yearly","Basic",2.9,0.0413258226590236
"8662","F",48,0,"Coutryside high","Yes","Intermediate","Quarterly","Intermediate",4.34,0.0238331893306194
"8663","M",54,2,"Urban","No","Normal","Quarterly","Intermediate",2.3,0.0293107683834455
"8664","M",50,0,"Coutryside high","No","Intermediate","Yearly","Basic",3.84,0.0217014119269874
"8665","M",25,2,"Coutryside high","No","Low","Quarterly","Intermediate",0.08,0.02196001663857
"8666","F",25,0,"Countryside low","No","Normal","Quarterly","Intermediate",2.11,0.0164523480152539
"8667","M",47,6,"Coutryside high","No","High","Yearly","Intermediate",5.14,0.0238193878092596
"8668","M",52,5,"Suburban","Yes","Low","Monthly","Intermediate",2.19,0.0358865755475396
"8669","F",61,5,"Countryside low","No","Normal","Monthly","Intermediate",3.43,0.0142649819053252
"8670","F",62,7,"Urban","No","Normal","Yearly","Full",3.82,0.0172405900010723
"8671","F",34,12,"Urban","No","Intermediate","Quarterly","Intermediate",2.3,0.023478427409735
"8672","M",39,3,"Suburban","Yes","High","Monthly","Intermediate",2.83,0.0676042187443673
"8673","M",34,4,"Suburban","No","Normal","Quarterly","Basic",3.21,0.0257198939607419
"8674","M",58,4,"Urban","Yes","Low","Monthly","Full",1.38,0.0467804817533334
"8675","M",56,10,"Suburban","No","Intermediate","Quarterly","Intermediate",3.11,0.0201093132807165
"8676","M",38,5,"Suburban","No","Normal","Yearly","Intermediate",5.7,0.0205807492695116
"8677","F",43,4,"Coutryside high","Yes","Normal","Yearly","Full",2.92,0.025021285228173
"8678","M",45,7,"Suburban","Yes","Low","Yearly","Full",0.08,0.0252108026495144
"8679","F",32,3,"Suburban","No","High","Yearly","Basic",0.38,0.0196649053614825
"8680","M",28,6,"Suburban","No","Normal","Yearly","Intermediate",0.9,0.0222154955794519
"8681","F",41,7,"Urban","Yes","Low","Yearly","Full",2.46,0.023742292270742
"8682","F",61,8,"Suburban","No","Low","Monthly","Intermediate",3.42,0.0271353950444795
"8683","M",44,3,"Countryside low","No","Normal","Yearly","Intermediate",3.45,0.0156238578543809
"8684","F",45,7,"Coutryside high","Yes","Intermediate","Yearly","Intermediate",2.5,0.0201456222104989
"8685","F",50,0,"Suburban","No","Intermediate","Monthly","Intermediate",3.33,0.0256741251250995
"8686","F",49,4,"Countryside low","Yes","Normal","Monthly","Basic",4.46,0.0145011614357742
"8687","F",55,5,"Countryside low","Yes","Intermediate","Yearly","Intermediate",4.44,0.0142925033086862
"8688","M",69,5,"Urban","No","Normal","Quarterly","Intermediate",3.88,0.0237994282990578
"8689","F",43,8,"Urban","No","Normal","Yearly","Intermediate",3.14,0.0168145988855276
"8690","F",46,3,"Countryside low","No","Intermediate","Yearly","Full",3.19,0.0149654023901703
"8691","M",43,4,"Countryside low","No","Low","Yearly","Basic",2.93,0.0133298075854835
"8692","F",45,3,"Urban","Yes","Normal","Yearly","Intermediate",4.75,0.0237717663017802
"8693","F",18,9,"Countryside low","Yes","Normal","Monthly","Basic",3.54,0.0165127629489606
"8694","M",52,8,"Suburban","No","Low","Monthly","Intermediate",3.13,0.028650045948084
"8695","M",47,0,"Urban","Yes","Normal","Yearly","Intermediate",4.83,0.0332506018864777
"8696","M",50,6,"Suburban","No","Low","Yearly","Basic",1.78,0.0150884813376374
"8697","M",40,6,"Urban","Yes","Intermediate","Yearly","Intermediate",4.26,0.0332523411241901
"8698","M",35,5,"Suburban","Yes","Intermediate","Quarterly","Full",5.07,0.032752993627243
"8699","M",34,7,"Urban","Yes","Intermediate","Monthly","Basic",4.89,0.0370832483728127
"8700","M",42,9,"Countryside low","No","Normal","Monthly","Intermediate",5.33,0.0162168318336519
"8701","M",66,6,"Suburban","Yes","Intermediate","Quarterly","Full",3.23,0.0414077293269821
"8702","M",47,5,"Urban","Yes","Low","Yearly","Intermediate",1.56,0.0258893734253355
"8703","M",34,4,"Coutryside high","No","Intermediate","Yearly","Basic",1.15,0.0232571881647999
"8704","M",32,5,"Suburban","No","Intermediate","Yearly","Intermediate",4.37,0.0233269745068509
"8705","M",47,7,"Suburban","Yes","Normal","Yearly","Full",2.86,0.028586767069415
"8706","M",41,6,"Countryside low","No","Low","Quarterly","Full",3.43,0.0135234090137692
"8707","M",36,11,"Suburban","Yes","Low","Monthly","Basic",3.35,0.0341226750437769
"8708","F",47,5,"Urban","No","Normal","Quarterly","Full",2.26,0.0242095922485392
"8709","M",70,1,"Coutryside high","Yes","Low","Yearly","Intermediate",2.75,0.0195756903853946
"8710","M",34,6,"Countryside low","No","Normal","Yearly","Intermediate",2.68,0.0160381443263038
"8711","M",18,5,"Suburban","No","Normal","Yearly","Intermediate",3.41,0.0251258853412358
"8712","F",42,5,"Urban","No","Normal","Monthly","Basic",0.08,0.0278869431509474
"8713","M",44,3,"Suburban","No","Normal","Yearly","Basic",0.08,0.0191447960934289
"8714","M",41,3,"Countryside low","No","Normal","Yearly","Intermediate",4.25,0.0160118156203867
"8715","M",59,4,"Countryside low","No","Low","Monthly","Intermediate",5.56,0.0125232734427636
"8716","M",27,10,"Urban","Yes","Normal","Monthly","Basic",2.91,0.0375012066804268
"8717","F",36,8,"Urban","Yes","Intermediate","Yearly","Basic",1.65,0.02335310832553
"8718","F",45,1,"Countryside low","No","Intermediate","Yearly","Basic",3.98,0.0130322564158573
"8719","F",56,1,"Countryside low","No","Normal","Yearly","Intermediate",2.54,0.0122065918912598
"8720","M",51,4,"Urban","No","Normal","Quarterly","Basic",5.45,0.0260618670413922
"8721","M",49,10,"Coutryside high","No","Normal","Monthly","Intermediate",0.57,0.0257916033984114
"8722","M",58,9,"Suburban","No","Normal","Quarterly","Full",2.91,0.0204262098422596
"8723","M",36,8,"Coutryside high","No","Low","Yearly","Basic",3.57,0.0170754086735145
"8724","F",49,3,"Countryside low","No","Low","Quarterly","Full",3.57,0.0117884437429273
"8725","F",24,5,"Suburban","No","Normal","Yearly","Intermediate",5.24,0.0177492709011456
"8726","M",33,7,"Coutryside high","No","Normal","Monthly","Full",5.03,0.0323087302125055
"8727","M",25,5,"Urban","Yes","Intermediate","Yearly","Intermediate",2,0.038508056495238
"8728","M",45,7,"Urban","Yes","Intermediate","Yearly","Intermediate",4.62,0.0310900472233982
"8729","M",36,10,"Coutryside high","No","Intermediate","Yearly","Basic",2.19,0.0199326591470799
"8730","M",30,5,"Urban","No","Intermediate","Quarterly","Intermediate",4.24,0.0346788020191774
"8731","M",26,5,"Urban","Yes","Low","Yearly","Basic",3.09,0.0299971677759031
"8732","F",67,4,"Urban","No","Low","Yearly","Basic",5.02,0.0129318938679878
"8733","F",64,2,"Coutryside high","No","Intermediate","Quarterly","Intermediate",4.87,0.0192057049064447
"8734","F",70,6,"Suburban","No","Normal","Yearly","Basic",1.63,0.0120628915955434
"8735","M",34,0,"Urban","Yes","Low","Yearly","Intermediate",1.98,0.0327576299043419
"8736","M",55,7,"Urban","No","Intermediate","Yearly","Intermediate",0.97,0.021571604733475
"8737","F",40,5,"Suburban","Yes","Intermediate","Yearly","Basic",0.08,0.0197633697549732
"8738","M",63,10,"Urban","No","Intermediate","Yearly","Full",2.66,0.0226248026952413
"8739","M",32,4,"Countryside low","No","Normal","Monthly","Basic",0.58,0.0175108265343367
"8740","F",53,0,"Coutryside high","No","Intermediate","Yearly","Intermediate",2.71,0.016891228430723
"8741","M",28,2,"Suburban","No","Intermediate","Yearly","Basic",2.57,0.0244702406793344
"8742","F",49,9,"Coutryside high","No","High","Yearly","Basic",2.33,0.0157145161883293
"8743","M",41,3,"Countryside low","No","Intermediate","Quarterly","Intermediate",2.06,0.0161332644627117
"8744","M",38,3,"Suburban","Yes","Normal","Yearly","Full",4.17,0.0338798693139006
"8745","F",36,3,"Urban","No","Intermediate","Monthly","Intermediate",2.81,0.0327719362548043
"8746","M",49,5,"Countryside low","Yes","Intermediate","Quarterly","Full",5.55,0.0188319508807295
"8747","M",18,3,"Suburban","No","Low","Yearly","Intermediate",4.19,0.0227003411727416
"8748","F",39,2,"Countryside low","Yes","Normal","Quarterly","Intermediate",3.55,0.0154818981832741
"8749","F",59,2,"Coutryside high","No","Intermediate","Monthly","Intermediate",6.81,0.0229779920427229
"8750","M",65,6,"Urban","Yes","Intermediate","Yearly","Basic",2.59,0.0246074432699316
"8751","M",49,5,"Urban","No","Normal","Yearly","Basic",3.39,0.0211249769308079
"8752","F",43,6,"Countryside low","Yes","Intermediate","Yearly","Intermediate",2.24,0.0153836101301044
"8753","M",55,5,"Urban","No","Normal","Yearly","Basic",3.58,0.0199232945259614
"8754","M",18,2,"Suburban","No","Normal","Yearly","Basic",1.09,0.0253184208539932
"8755","M",47,9,"Coutryside high","No","Low","Monthly","Full",2.23,0.0185710248438237
"8756","F",54,7,"Coutryside high","No","Intermediate","Yearly","Intermediate",3.45,0.0147283898541852
"8757","F",43,6,"Suburban","Yes","Normal","Yearly","Basic",0.79,0.0176877485912471
"8758","M",42,5,"Coutryside high","Yes","Normal","Monthly","Intermediate",3.29,0.0330185822627066
"8759","M",40,5,"Urban","No","Low","Quarterly","Intermediate",4.99,0.0208217172663946
"8760","F",35,3,"Urban","Yes","Normal","Quarterly","Full",2.63,0.0321750027188469
"8761","F",41,0,"Urban","No","Low","Yearly","Intermediate",1.11,0.0176526006967597
"8762","M",71,4,"Urban","No","Normal","Quarterly","Intermediate",2.6,0.0238374860194096
"8763","M",47,6,"Suburban","No","Normal","Monthly","Intermediate",1.58,0.0283811783533149
"8764","M",55,2,"Suburban","Yes","Intermediate","Yearly","Intermediate",2.29,0.0259808195922992
"8765","F",39,4,"Urban","Yes","Intermediate","Yearly","Intermediate",5.17,0.0263723188269302
"8766","F",42,0,"Countryside low","Yes","Intermediate","Quarterly","Basic",4.87,0.0149215187145351
"8767","F",18,7,"Urban","No","High","Yearly","Basic",1.53,0.0251092189125687
"8768","M",64,5,"Countryside low","Yes","Normal","Monthly","Basic",3.45,0.0149406489568241
"8769","F",20,1,"Coutryside high","No","Intermediate","Yearly","Intermediate",4.36,0.0226076177929649
"8770","F",33,4,"Urban","Yes","High","Yearly","Basic",5.05,0.0302045175265795
"8771","M",47,8,"Urban","No","High","Quarterly","Basic",3.16,0.0465030706065994
"8772","F",23,6,"Countryside low","No","Normal","Quarterly","Basic",2.59,0.0145110976680249
"8773","M",42,10,"Suburban","No","Normal","Yearly","Basic",4.48,0.0168721945365937
"8774","M",56,2,"Suburban","No","Low","Quarterly","Intermediate",0.52,0.0165470864809629
"8775","M",28,5,"Countryside low","No","Intermediate","Yearly","Intermediate",1.53,0.0182770061445925
"8776","F",30,10,"Suburban","No","Normal","Monthly","Intermediate",5.67,0.0268122559476213
"8777","M",28,1,"Suburban","No","Normal","Yearly","Intermediate",3.63,0.0248919540949211
"8778","M",82,6,"Suburban","No","Normal","Monthly","Intermediate",3.32,0.0213853253140747
"8779","M",46,4,"Suburban","No","Low","Quarterly","Basic",4.98,0.0161216503030685
"8780","F",50,0,"Coutryside high","No","Normal","Yearly","Intermediate",4.27,0.0163755836952294
"8781","M",57,9,"Countryside low","Yes","Normal","Monthly","Intermediate",1.84,0.0156258378058901
"8782","F",35,6,"Coutryside high","No","Intermediate","Monthly","Full",4.47,0.0256268963718201
"8783","M",34,3,"Countryside low","No","Low","Quarterly","Intermediate",2.2,0.0135932517356506
"8784","M",42,7,"Countryside low","No","Low","Quarterly","Basic",3.35,0.012014876836814
"8785","F",69,6,"Countryside low","No","Normal","Quarterly","Intermediate",3.16,0.0126666240193571
"8786","M",41,2,"Coutryside high","No","Normal","Yearly","Basic",2.73,0.0212456514767581
"8787","M",42,2,"Suburban","No","Low","Yearly","Full",3.05,0.0222187569033432
"8788","M",43,11,"Countryside low","Yes","Normal","Yearly","Basic",3.55,0.0161112391370777
"8789","M",44,6,"Urban","No","Intermediate","Yearly","Full",3.89,0.0299070874941568
"8790","F",35,6,"Urban","Yes","High","Yearly","Intermediate",2.76,0.0300621662988789
"8791","M",48,0,"Suburban","No","Normal","Yearly","Basic",3.67,0.0196633870859272
"8792","M",39,4,"Suburban","No","Normal","Yearly","Intermediate",2.22,0.0208378267108944
"8793","M",32,10,"Urban","No","Normal","Quarterly","Full",4.34,0.0313246587103378
"8794","F",40,5,"Suburban","No","Normal","Monthly","Intermediate",2.17,0.0269753782309659
"8795","M",30,2,"Urban","Yes","Low","Yearly","Intermediate",2.92,0.0325975905987636
"8796","M",21,7,"Urban","No","Intermediate","Monthly","Intermediate",5.38,0.043441609800811
"8797","M",55,8,"Suburban","No","Normal","Yearly","Intermediate",0.1,0.0165233176898381
"8798","F",40,8,"Countryside low","No","Normal","Quarterly","Intermediate",3.97,0.0138463278363309
"8799","M",26,2,"Suburban","No","Normal","Yearly","Intermediate",5.85,0.0248251744477408
"8800","M",32,7,"Urban","No","Intermediate","Yearly","Full",1.59,0.0327701558407291
"8801","F",56,1,"Suburban","Yes","Low","Quarterly","Basic",1.7,0.0262624475500505
"8802","M",59,7,"Suburban","No","Intermediate","Quarterly","Basic",1.47,0.0190423313105545
"8803","M",38,6,"Urban","No","Intermediate","Quarterly","Full",2.98,0.0323388602223384
"8804","M",55,4,"Urban","No","Normal","Yearly","Basic",4.24,0.0203661879915533
"8805","M",50,2,"Urban","No","Normal","Yearly","Basic",4.19,0.0223774396894223
"8806","F",51,0,"Countryside low","No","Intermediate","Yearly","Intermediate",3.63,0.0132198316515237
"8807","F",29,4,"Countryside low","No","Normal","Quarterly","Basic",3.46,0.0143905474408243
"8808","F",19,0,"Countryside low","No","Intermediate","Yearly","Basic",1.81,0.0159720514071206
"8809","F",61,9,"Suburban","No","High","Quarterly","Full",3.63,0.0315170488465357
"8810","M",32,10,"Suburban","No","Intermediate","Yearly","Intermediate",1.44,0.0208390083846725
"8811","F",40,8,"Suburban","Yes","High","Quarterly","Intermediate",4.95,0.0407672162419812
"8812","M",18,9,"Urban","Yes","Normal","Yearly","Full",1.04,0.0417830688305681
"8813","F",57,0,"Suburban","No","Normal","Quarterly","Intermediate",4.49,0.0219806706261727
"8814","M",36,6,"Urban","Yes","Low","Monthly","Full",0.08,0.0489072949707343
"8815","F",45,8,"Urban","No","Normal","Yearly","Basic",1.82,0.0157160062473034
"8816","F",67,2,"Coutryside high","No","Intermediate","Quarterly","Intermediate",4.6,0.0188270141092966
"8817","F",55,6,"Countryside low","No","Low","Monthly","Intermediate",6.1,0.0117309889834022
"8818","F",45,5,"Coutryside high","No","Normal","Yearly","Intermediate",2.49,0.015541827548687
"8819","M",30,10,"Urban","No","Normal","Monthly","Intermediate",5.1,0.0374236236234215
"8820","M",55,5,"Urban","No","High","Yearly","Full",3.59,0.0314038996563348
"8821","M",52,5,"Countryside low","No","Low","Yearly","Intermediate",4.61,0.0129063557478353
"8822","M",30,0,"Urban","No","Intermediate","Yearly","Basic",4.25,0.0304781051929465
"8823","M",50,4,"Suburban","No","High","Yearly","Basic",5.19,0.0215567352911655
"8824","F",59,2,"Urban","No","Normal","Yearly","Basic",2.21,0.0156655877609498
"8825","F",28,8,"Countryside low","No","Low","Yearly","Intermediate",2.8,0.0120502019642749
"8826","F",45,4,"Countryside low","No","Normal","Monthly","Intermediate",2.97,0.0154756036591224
"8827","M",45,1,"Suburban","No","Low","Monthly","Full",3.25,0.0216514209797702
"8828","M",39,7,"Suburban","No","Intermediate","Monthly","Basic",4.84,0.0260634771160558
"8829","F",29,9,"Coutryside high","No","High","Monthly","Basic",3.68,0.0240950788101403
"8830","F",65,6,"Coutryside high","Yes","Intermediate","Yearly","Basic",4.72,0.0162229098039241
"8831","M",43,0,"Coutryside high","No","Normal","Monthly","Basic",1.7,0.0305254415268777
"8832","F",33,8,"Countryside low","Yes","Intermediate","Yearly","Intermediate",1.93,0.0160821161836068
"8833","M",76,5,"Suburban","No","Low","Yearly","Basic",6.19,0.0128324327181545
"8834","F",51,4,"Urban","No","Normal","Yearly","Intermediate",3.12,0.016971883207223
"8835","M",18,6,"Countryside low","No","Normal","Yearly","Basic",2.23,0.017477694840139
"8836","F",27,7,"Urban","No","Intermediate","Yearly","Intermediate",1.37,0.0212181894168296
"8837","M",23,10,"Urban","No","Normal","Quarterly","Intermediate",1.98,0.0339069910065551
"8838","F",42,3,"Urban","No","Low","Quarterly","Intermediate",2.76,0.0178267912475982
"8839","F",48,8,"Countryside low","Yes","Normal","Monthly","Intermediate",2.78,0.0146517680108421
"8840","M",38,3,"Suburban","Yes","Intermediate","Quarterly","Basic",0.32,0.0276738855482635
"8841","M",47,5,"Suburban","No","Intermediate","Yearly","Intermediate",0.69,0.0201073639353681
"8842","F",18,7,"Suburban","Yes","Intermediate","Quarterly","Basic",5.31,0.0245849180372855
"8843","F",36,5,"Countryside low","Yes","Low","Yearly","Basic",2.59,0.0135020188808979
"8844","M",49,1,"Urban","Yes","Normal","Yearly","Intermediate",3.13,0.0319741171620597
"8845","F",50,4,"Suburban","No","Normal","Yearly","Intermediate",4.15,0.0145881922847175
"8846","F",18,7,"Coutryside high","No","Intermediate","Yearly","Intermediate",4.04,0.0201603190416262
"8847","M",60,3,"Suburban","Yes","Normal","Monthly","Basic",5.02,0.0252152488699728
"8848","M",25,8,"Suburban","No","Intermediate","Yearly","Intermediate",6.22,0.0233734399371392
"8849","F",36,7,"Urban","No","Intermediate","Yearly","Intermediate",2.74,0.0194406839577002
"8850","F",50,5,"Suburban","No","Low","Yearly","Full",6.31,0.0148844086666975
"8851","M",25,3,"Coutryside high","No","Normal","Quarterly","Intermediate",5.66,0.0325667604926061
"8852","M",38,5,"Suburban","Yes","Low","Yearly","Basic",4.14,0.0218880599019283
"8853","F",52,2,"Suburban","Yes","Intermediate","Quarterly","Basic",2.4,0.0198221073099727
"8854","M",42,6,"Coutryside high","Yes","Intermediate","Monthly","Basic",2.38,0.0289934482535984
"8855","M",31,4,"Countryside low","Yes","Normal","Yearly","Intermediate",3.45,0.0220797171977653
"8856","M",35,5,"Coutryside high","No","Normal","Yearly","Intermediate",0.08,0.0223808996933457
"8857","M",49,4,"Countryside low","Yes","Intermediate","Yearly","Intermediate",3.47,0.0197452637451208
"8858","F",51,4,"Countryside low","No","Intermediate","Quarterly","Basic",1.21,0.0127976862157985
"8859","F",40,6,"Urban","No","Intermediate","Yearly","Full",1.82,0.0231752384112297
"8860","F",63,0,"Urban","No","High","Monthly","Intermediate",5.46,0.0274011169123125
"8861","M",29,3,"Countryside low","No","Normal","Monthly","Basic",3.39,0.018226992110222
"8862","M",60,7,"Urban","No","Normal","Yearly","Intermediate",4.77,0.0192674701237218
"8863","F",42,9,"Urban","No","High","Monthly","Intermediate",1.66,0.0501396294666779
"8864","F",41,8,"Countryside low","No","Intermediate","Yearly","Intermediate",5,0.0125934792748011
"8865","F",32,6,"Suburban","No","Intermediate","Yearly","Intermediate",3.55,0.0171781164771337
"8866","M",18,6,"Suburban","Yes","Low","Yearly","Intermediate",2.67,0.0277665123269296
"8867","M",42,8,"Countryside low","No","Low","Quarterly","Full",1.38,0.0130925284448476
"8868","M",56,3,"Countryside low","Yes","Low","Monthly","Intermediate",5.88,0.0255718366113013
"8869","F",65,7,"Urban","No","High","Yearly","Intermediate",0.45,0.0169242485123399
"8870","M",34,6,"Suburban","No","Normal","Yearly","Intermediate",1.22,0.0209333183831979
"8871","M",26,3,"Countryside low","No","Low","Yearly","Basic",3.2,0.0152933325294107
"8872","M",43,0,"Urban","No","High","Yearly","Intermediate",5.29,0.0325171315994413
"8873","M",79,5,"Suburban","Yes","Normal","Quarterly","Basic",3.57,0.0194134073451361
"8874","M",40,5,"Urban","No","Normal","Quarterly","Intermediate",4.82,0.0317252205782545
"8875","F",41,7,"Countryside low","No","Intermediate","Yearly","Intermediate",3.22,0.0127584094229583
"8876","M",37,6,"Countryside low","No","Normal","Yearly","Intermediate",3.35,0.015648883335136
"8877","F",58,3,"Suburban","Yes","Normal","Yearly","Full",4.07,0.0208601038467014
"8878","M",57,5,"Countryside low","No","Normal","Yearly","Intermediate",3.91,0.0137212046434804
"8879","M",45,8,"Countryside low","No","Normal","Monthly","Basic",2.32,0.0151610599740759
"8880","M",49,4,"Urban","No","Intermediate","Yearly","Intermediate",2.11,0.0245213341743359
"8881","M",47,6,"Countryside low","No","Normal","Monthly","Intermediate",1.8,0.0163812468133294
"8882","F",18,2,"Countryside low","No","Normal","Yearly","Full",5.37,0.0182954373015419
"8883","M",46,5,"Coutryside high","No","Intermediate","Yearly","Basic",3.84,0.020192231829175
"8884","M",30,7,"Coutryside high","No","High","Yearly","Full",3.32,0.0332646838185486
"8885","F",43,6,"Countryside low","No","Intermediate","Yearly","Full",3.84,0.0145437983199481
"8886","M",21,3,"Coutryside high","Yes","Normal","Yearly","Basic",3.81,0.0329295919338562
"8887","M",65,4,"Urban","No","Normal","Yearly","Intermediate",4.09,0.0196017811031099
"8888","M",59,6,"Urban","No","Normal","Yearly","Intermediate",0.76,0.019879966222555
"8889","M",30,5,"Coutryside high","Yes","High","Yearly","Intermediate",1.92,0.0368755067935696
"8890","F",48,5,"Urban","Yes","High","Quarterly","Intermediate",3.73,0.0488092099164853
"8891","M",56,9,"Suburban","No","High","Monthly","Basic",3.44,0.0399308978441959
"8892","M",29,7,"Urban","Yes","Intermediate","Monthly","Intermediate",1.55,0.0434648869282368
"8893","M",49,8,"Urban","No","Low","Yearly","Basic",2.03,0.0172609305507339
"8894","M",47,6,"Urban","No","Normal","Yearly","Intermediate",4.27,0.0223713144393142
"8895","F",63,7,"Urban","No","Intermediate","Monthly","Intermediate",2.81,0.0236178519609924
"8896","M",50,4,"Suburban","No","Low","Yearly","Intermediate",1.84,0.0164429582832991
"8897","F",18,7,"Countryside low","No","Intermediate","Yearly","Intermediate",3.4,0.014890625236926
"8898","F",68,2,"Suburban","Yes","Normal","Yearly","Basic",2.92,0.0154438993456596
"8899","M",69,9,"Urban","Yes","Intermediate","Yearly","Intermediate",2.86,0.0234575867962714
"8900","M",47,4,"Suburban","Yes","Low","Monthly","Intermediate",2.18,0.0382758147585023
"8901","F",53,5,"Countryside low","No","Intermediate","Yearly","Intermediate",3.73,0.0122412301575589
"8902","F",33,5,"Urban","Yes","Intermediate","Monthly","Intermediate",3.47,0.0344811746197351
"8903","M",40,6,"Suburban","No","Low","Yearly","Intermediate",3.36,0.017241962026359
"8904","M",58,4,"Suburban","No","High","Yearly","Intermediate",2.46,0.0211434362387049
"8905","M",61,9,"Urban","No","Normal","Yearly","Basic",1.87,0.017318317216209
"8906","M",57,6,"Suburban","No","Normal","Yearly","Basic",4.19,0.0160424929561521
"8907","F",59,4,"Urban","Yes","Intermediate","Yearly","Intermediate",5.69,0.0215836896341941
"8908","M",55,4,"Coutryside high","Yes","Normal","Yearly","Full",4.56,0.0297995074184028
"8909","F",57,6,"Suburban","Yes","Normal","Yearly","Intermediate",4.44,0.0164936274400411
"8910","M",41,3,"Coutryside high","Yes","High","Monthly","Intermediate",1.87,0.0377050338950035
"8911","M",42,2,"Countryside low","No","Normal","Yearly","Basic",2.48,0.0154035531024835
"8912","M",42,1,"Coutryside high","No","Intermediate","Yearly","Full",2.6,0.0296522871216209
"8913","M",36,3,"Suburban","No","Normal","Yearly","Full",3.38,0.0267138688789536
"8914","M",39,3,"Coutryside high","Yes","Intermediate","Yearly","Intermediate",2.2,0.0313383515136795
"8915","F",44,3,"Suburban","No","Low","Monthly","Basic",1.39,0.0162568428541911
"8916","M",50,0,"Suburban","Yes","Normal","Yearly","Full",3.13,0.0323175236350926
"8917","M",36,6,"Countryside low","No","Normal","Yearly","Intermediate",1.94,0.01577644679283
"8918","F",49,8,"Urban","No","Low","Yearly","Full",1.99,0.0166621217688522
"8919","M",18,9,"Suburban","Yes","High","Monthly","Intermediate",0.08,0.0736036017078686
"8920","F",37,7,"Urban","Yes","Intermediate","Yearly","Full",3.03,0.0304816944310219
"8921","M",39,7,"Suburban","No","High","Yearly","Intermediate",3.1,0.023880962109117
"8922","F",47,1,"Suburban","Yes","Intermediate","Yearly","Intermediate",3.85,0.0213925091270113
"8923","M",65,1,"Coutryside high","No","High","Yearly","Basic",2.99,0.0209849611773762
"8924","F",31,6,"Countryside low","Yes","Low","Yearly","Intermediate",4.04,0.0143422291374722
"8925","F",51,6,"Countryside low","No","Normal","Yearly","Intermediate",2.79,0.011826256305634
"8926","F",53,8,"Suburban","Yes","High","Yearly","Full",3.75,0.0240192550524517
"8927","M",19,3,"Countryside low","No","Normal","Monthly","Full",3.44,0.0229614050687938
"8928","M",61,4,"Urban","No","Low","Quarterly","Intermediate",3.55,0.0177243585472238
"8929","M",26,1,"Urban","No","Low","Monthly","Basic",2.87,0.0272079967224051
"8930","M",51,7,"Coutryside high","No","Intermediate","Monthly","Basic",4.74,0.0235146366780486
"8931","M",33,1,"Countryside low","Yes","Low","Monthly","Basic",3.09,0.0164701948689789
"8932","M",30,7,"Suburban","Yes","Low","Quarterly","Basic",2.29,0.0268943700841871
"8933","M",57,4,"Urban","No","Normal","Yearly","Full",1.53,0.0257782293603196
"8934","F",32,5,"Suburban","No","Intermediate","Monthly","Intermediate",1.62,0.0273370586008226
"8935","F",29,4,"Countryside low","No","Low","Quarterly","Intermediate",2.59,0.0122699567832253
